Petal.Width,Species
1.5,versicolor
0.3,setosa
1.6,versicolor
2.3,virginica
2.3,virginica
2.1,virginica
2,virginica
2.5,virginica
0.2,setosa
0.2,setosa
0.1,setosa
0.1,setosa
1.4,virginica
1.9,virginica
1.3,versicolor
2.3,virginica
0.5,setosa
0.3,setosa
0.2,setosa
0.2,setosa
1.1,versicolor
0.2,setosa
1.6,versicolor
2.1,virginica
0.2,setosa
0.2,setosa
0.2,setosa
1.2,versicolor
2.5,virginica
1.3,versicolor
2,virginica
2.1,virginica
2,virginica
1.4,versicolor
2.3,virginica
1.5,versicolor
1.5,versicolor
1.5,versicolor
0.2,setosa
1.2,versicolor
0.2,setosa
1.7,versicolor
1.5,virginica
1.6,virginica
1,versicolor
2.3,virginica
1.8,virginica
1.5,versicolor
0.3,setosa
0.2,setosa
